event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nfl_401772953,nfl,Green Bay Packers,Baltimore Ravens,Lambeau Field,Green Bay,WI,2025-12-28T01:00Z,44.5013,-88.0622
nba_401871328,nba,Los Angeles Lakers,Oklahoma City Thunder,crypto.com Arena,Los Angeles,CA,2026-05-10T00:30Z,34.043,-118.2673
nfl_401772926,nfl,Washington Commanders,Seattle Seahawks,Northwest Stadium,Landover,MD,2025-11-03T01:20Z,38.9076,-76.8645
nba_401810396,nba,Los Angeles Lakers,Milwaukee Bucks,crypto.com Arena,Los Angeles,CA,2026-01-10T03:30Z,34.043,-118.2673
nba_401810205,nba,Brooklyn Nets,New Orleans Pelicans,Barclays Center,Brooklyn,NY,2025-12-06T22:00Z,40.6826,-73.9754
nfl_401772831,nfl,Seattle Seahawks,San Francisco 49ers,Lumen Field,Seattle,WA,2025-09-07T20:05Z,47.5952,-122.3316
nfl_401772634,nfl,New York Jets,Denver Broncos,Tottenham Hotspur Stadium,London,,2025-10-12T13:30Z,51.6043,-0.0664
nba_401836747,nba,Milwaukee Bucks,Boston Celtics,Fiserv Forum,Milwaukee,WI,2025-12-12T01:00Z,43.045,-87.9172
nba_401810618,nba,Miami Heat,Utah Jazz,Kaseya Center,Miami,FL,2026-02-10T00:30Z,25.7814,-80.187
nba_401810988,nba,Brooklyn Nets,Washington Wizards,Barclays Center,Brooklyn,NY,2026-04-05T19:30Z,40.6826,-73.9754
nba_401810826,nba,Boston Celtics,Washington Wizards,TD Garden,Boston,MA,2026-03-14T22:00Z,42.3662,-71.0621
nfl_401772773,nfl,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle,WA,2025-11-09T21:05Z,47.5952,-122.3316
nba_401809806,nba,Oklahoma City Thunder,Minnesota Timberwolves,Paycom Center,Oklahoma City,OK,2025-11-27T00:30Z,35.4634,-97.5151
nba_401810872,nba,Detroit Pistons,Golden State Warriors,Little Caesars Arena,Detroit,MI,2026-03-20T23:30Z,42.341,-83.0553
nba_401810721,nba,Golden State Warriors,Los Angeles Lakers,Chase Center,San Francisco,CA,2026-03-01T01:30Z,37.768,-122.3878
nba_401869386,nba,San Antonio Spurs,Portland Trail Blazers,Frost Bank Center,San Antonio,TX,2026-04-29T01:30Z,29.4269,-98.4375
nba_401810088,nba,Boston Celtics,LA Clippers,TD Garden,Boston,MA,2025-11-16T20:30Z,42.3662,-71.0621
nba_401810083,nba,Cleveland Cavaliers,Memphis Grizzlies,Rocket Arena,Cleveland,OH,2025-11-15T22:00Z,41.4965,-81.6882
nba_401810837,nba,Sacramento Kings,Utah Jazz,Golden 1 Center,Sacramento,CA,2026-03-16T02:00Z,38.5802,-121.4997
nba_401809995,nba,Oklahoma City Thunder,Washington Wizards,Paycom Center,Oklahoma City,OK,2025-10-31T00:00Z,35.4634,-97.5151
nba_401810743,nba,Philadelphia 76ers,San Antonio Spurs,Xfinity Mobile Arena,Philadelphia,PA,2026-03-04T01:00Z,39.9012,-75.172
nba_401810021,nba,Atlanta Hawks,Orlando Magic,State Farm Arena,Atlanta,GA,2025-11-05T01:00Z,33.7573,-84.3963
nfl_401772798,nfl,Kansas City Chiefs,Los Angeles Chargers,Arrowhead Stadium,Kansas City,MO,2025-12-14T18:00Z,39.0489,-94.4839
nfl_401772880,nfl,Minnesota Vikings,Chicago Bears,U.S. Bank Stadium,Minneapolis,MN,2025-11-16T18:00Z,44.9738,-93.2575
nba_401810256,nba,Sacramento Kings,Houston Rockets,Golden 1 Center,Sacramento,CA,2025-12-22T03:00Z,38.5802,-121.4997
nba_401809973,nba,San Antonio Spurs,Toronto Raptors,Frost Bank Center,San Antonio,TX,2025-10-28T00:00Z,29.4269,-98.4375
nba_401810253,nba,New York Knicks,Miami Heat,Madison Square Garden,New York,NY,2025-12-21T23:00Z,40.7505,-73.9934
nba_401810387,nba,Boston Celtics,Toronto Raptors,TD Garden,Boston,MA,2026-01-10T00:00Z,42.3662,-71.0621
nba_401810497,nba,Portland Trail Blazers,Toronto Raptors,Moda Center,Portland,OR,2026-01-24T03:00Z,45.5316,-122.6668
nba_401810064,nba,Philadelphia 76ers,Boston Celtics,Xfinity Mobile Arena,Philadelphia,PA,2025-11-12T01:00Z,39.9012,-75.172
nba_401812707,nba,Boston Celtics,Cleveland Cavaliers,TD Garden,Boston,MA,2025-10-12T23:00Z,42.3662,-71.0621
nba_401810748,nba,New York Knicks,Oklahoma City Thunder,Madison Square Garden,New York,NY,2026-03-05T00:00Z,40.7505,-73.9934
nba_401810421,nba,Milwaukee Bucks,Minnesota Timberwolves,Fiserv Forum,Milwaukee,WI,2026-01-14T01:00Z,43.045,-87.9172
nba_401810972,nba,Golden State Warriors,Cleveland Cavaliers,Chase Center,San Francisco,CA,2026-04-03T02:00Z,37.768,-122.3878
nba_401812481,nba,New Orleans Pelicans,Melbourne United,Rod Laver Arena,Melbourne,VIC,2025-10-03T09:30Z,-37.8199,144.9834
nba_401810833,nba,Toronto Raptors,Detroit Pistons,Scotiabank Arena,Toronto,ON,2026-03-15T19:30Z,43.6435,-79.3791
nba_401810851,nba,Minnesota Timberwolves,Phoenix Suns,Target Center,Minneapolis,MN,2026-03-18T00:00Z,44.9795,-93.276
nba_401810147,nba,Sacramento Kings,Minnesota Timberwolves,Golden 1 Center,Sacramento,CA,2025-11-25T03:00Z,38.5802,-121.4997
nba_401810518,nba,Minnesota Timberwolves,Golden State Warriors,Target Center,Minneapolis,MN,2026-01-27T02:30Z,44.9795,-93.276
