listing_id,candidate_event_id,label,split,embedding_cosine_sim
L000019,nba_401810475,0,train,0.7298287
L000019,nba_401810472,0,train,0.7164307
L000019,nba_401810483,0,train,0.71945417
L000019,nba_401810514,0,train,0.66199934
L000019,nba_401810484,0,train,0.65515566
L000019,nba_401810490,0,train,0.7894369
L000019,nba_401810491,0,train,0.68302566
L000019,nba_401810498,0,train,0.6801454
L000019,nba_401810468,0,train,0.6676233
L000020,nba_401810727,1,train,0.80238223
L000020,nba_401810745,0,train,0.72065634
L000020,nba_401810703,0,train,0.59538066
L000020,nba_401810699,0,train,0.7065576
L000020,nba_401810710,0,train,0.46431443
L000020,nba_401810746,0,train,0.4728167
L000021,nba_401810727,1,train,0.8274757
L000021,nba_401810907,0,train,0.5895289
L000021,nba_401810921,0,train,0.6392518
L000021,nba_401810281,0,train,0.58755326
L000021,nba_401810085,0,train,0.6010782
L000021,nba_401810703,0,train,0.6250646
L000021,nba_401810553,0,train,0.6416937
L000021,nba_401810028,0,train,0.5865876
L000021,nba_401810165,0,train,0.6283051
L000021,nba_401810414,0,train,0.5952264
L000021,nba_401810138,0,train,0.59921485
L000021,nba_401810319,0,train,0.5724344
L000021,nba_401810527,0,train,0.6194575
L000021,nba_401810012,0,train,0.6202519
L000021,nba_401810180,0,train,0.59850156
L000021,nba_401810809,0,train,0.6109144
L000021,nba_401810219,0,train,0.639359
L000021,nba_401810572,0,train,0.6274156
L000021,nba_401810398,0,train,0.5913569
L000021,nba_401811030,0,train,0.6077206
L000022,nba_401810727,1,train,0.37734264
L000022,nba_401810703,0,train,0.41412494
L000022,nba_401810745,0,train,0.28031015
L000022,nba_401810699,0,train,0.278179
L000023,nba_401810727,1,train,0.9353653
L000023,nba_401810703,0,train,0.76327777
L000023,nba_401810745,0,train,0.72679335
L000023,nba_401810699,0,train,0.75431275
L000023,nba_401810710,0,train,0.50629324
L000023,nba_401810746,0,train,0.5429318
L000024,nfl_401772848,1,train,0.84142953
L000024,nfl_401772737,0,train,0.6963154
L000024,nfl_401772738,0,train,0.5811151
L000024,nfl_401772847,0,train,0.5809775
L000024,nfl_401772742,0,train,0.6416913
L000024,nfl_401772849,0,train,0.68983424
L000024,nfl_401772921,0,train,0.6637318
L000024,nfl_401772739,0,train,0.65522206
